25,222 ; 25,198 ; 25,150 ; 25,052 ; 25,037 ; 24,949 ; 24,867 ; 24,837 ; 24,757 ; 24,685 ; 24,646 ; 24,588 ; 24,490 ; 24,471 ; 24,378 ; 24,285 ; 24,433 ; 24,758 ; 24,610 ; 24,046 ; 23,996 ; 23,945 ; 23,865 ; 23,838 ; 23,747 ; 23,715 ; 24,064 ; 24,170 ; 24,107 ; 24,064 ; 24,011 ; 23,916 ; 23,302 ; 23,251 ; 23,169 ; 23,130 ; 23,089 ; 23,141 ; 23,575 ; 23,541 ; 23,460 ; 23,435 ; 23,366 ; 23,301 ; 22,855 ; 22,596 ; 22,593 ; 22,522 ; 22,471 ; 22,638 ; 
25,627 ; 25,535 ; 25,518 ; 25,457 ; 25,395 ; 25,352 ; 25,463 ; 25,229 ; 25,146 ; 25,074 ; 25,032 ; 24,955 ; 24,885 ; 24,795 ; 24,756 ; 24,691 ; 25,200 ; 25,125 ; 25,082 ; 25,008 ; 24,594 ; 24,284 ; 24,210 ; 24,151 ; 24,048 ; 24,028 ; 24,550 ; 24,504 ; 24,435 ; 24,383 ; 24,311 ; 24,226 ; 24,102 ; 23,508 ; 23,466 ; 23,368 ; 23,353 ; 23,432 ; 23,832 ; 23,747 ; 23,697 ; 23,648 ; 23,577 ; 23,525 ; 23,478 ; 22,797 ; 22,763 ; 22,702 ; 22,676 ; 22,620 ; 
25,702 ; 25,684 ; 25,633 ; 25,584 ; 25,944 ; 26,042 ; 25,993 ; 25,920 ; 25,867 ; 25,200 ; 25,132 ; 25,056 ; 24,978 ; 24,891 ; 24,862 ; 25,399 ; 25,319 ; 25,278 ; 25,203 ; 25,105 ; 25,063 ; 24,361 ; 24,327 ; 24,255 ; 24,193 ; 24,108 ; 24,677 ; 24,603 ; 24,543 ; 24,480 ; 24,409 ; 24,331 ; 24,272 ; 23,628 ; 23,568 ; 23,492 ; 23,426 ; 23,547 ; 23,932 ; 23,840 ; 23,802 ; 23,754 ; 23,697 ; 23,628 ; 23,417 ; 22,885 ; 22,846 ; 22,809 ; 22,768 ; 22,687 ; 
25,859 ; 25,803 ; 25,737 ; 25,783 ; 26,228 ; 26,147 ; 26,074 ; 26,019 ; 25,946 ; 25,889 ; 25,201 ; 25,158 ; 25,064 ; 24,988 ; 24,958 ; 25,509 ; 25,405 ; 25,346 ; 25,301 ; 25,211 ; 25,135 ; 24,579 ; 24,400 ; 24,358 ; 24,304 ; 24,232 ; 24,786 ; 24,679 ; 24,616 ; 24,545 ; 24,519 ; 24,420 ; 24,380 ; 23,699 ; 23,655 ; 23,598 ; 23,557 ; 23,479 ; 24,008 ; 23,982 ; 23,878 ; 23,849 ; 23,798 ; 23,714 ; 23,212 ; 22,995 ; 22,939 ; 22,910 ; 22,834 ; 22,805 ; 
25,923 ; 25,841 ; 25,774 ; 26,346 ; 26,327 ; 26,233 ; 26,175 ; 26,121 ; 26,033 ; 25,984 ; 25,303 ; 25,240 ; 25,139 ; 25,090 ; 25,076 ; 25,562 ; 25,513 ; 25,431 ; 25,369 ; 25,307 ; 25,224 ; 24,708 ; 24,488 ; 24,445 ; 24,388 ; 24,304 ; 24,879 ; 24,783 ; 24,702 ; 24,664 ; 24,590 ; 24,515 ; 24,108 ; 23,790 ; 23,724 ; 23,690 ; 23,614 ; 23,574 ; 23,708 ; 24,051 ; 23,969 ; 23,938 ; 23,864 ; 23,486 ; 23,146 ; 23,092 ; 23,040 ; 22,973 ; 22,922 ; 22,849 ; 
25,990 ; 25,916 ; 25,889 ; 26,448 ; 26,377 ; 26,312 ; 26,250 ; 26,173 ; 26,092 ; 26,030 ; 25,409 ; 25,301 ; 25,250 ; 25,207 ; 25,127 ; 25,663 ; 25,602 ; 25,504 ; 25,436 ; 25,391 ; 25,320 ; 24,630 ; 24,568 ; 24,517 ; 24,446 ; 24,390 ; 24,486 ; 24,886 ; 24,811 ; 24,745 ; 24,673 ; 24,483 ; 23,935 ; 23,855 ; 23,801 ; 23,733 ; 23,716 ; 23,606 ; 23,584 ; 23,598 ; 23,684 ; 23,779 ; 23,524 ; 23,282 ; 23,243 ; 23,165 ; 23,118 ; 23,077 ; 23,017 ; 22,930 ; 
26,068 ; 26,039 ; 25,944 ; 26,418 ; 26,467 ; 26,376 ; 26,312 ; 26,254 ; 26,193 ; 26,112 ; 25,430 ; 25,393 ; 25,307 ; 25,248 ; 25,184 ; 25,097 ; 25,066 ; 25,181 ; 25,317 ; 25,462 ; 25,102 ; 24,690 ; 24,643 ; 24,567 ; 24,527 ; 24,444 ; 24,395 ; 24,481 ; 24,617 ; 24,713 ; 24,409 ; 24,070 ; 23,997 ; 23,957 ; 23,910 ; 23,846 ; 23,760 ; 23,722 ; 23,667 ; 23,611 ; 23,541 ; 23,504 ; 23,443 ; 23,368 ; 23,302 ; 23,270 ; 23,209 ; 23,129 ; 23,086 ; 23,018 ; 
26,128 ; 26,106 ; 26,049 ; 25,830 ; 24,936 ; 24,137 ; 26,464 ; 26,369 ; 26,268 ; 26,089 ; 25,546 ; 25,452 ; 25,418 ; 25,316 ; 25,272 ; 25,203 ; 25,313 ; 25,620 ; 25,480 ; 25,235 ; 24,869 ; 24,778 ; 24,719 ; 24,664 ; 24,607 ; 24,542 ; 24,455 ; 24,409 ; 24,359 ; 24,270 ; 24,230 ; 24,168 ; 24,112 ; 24,047 ; 23,985 ; 23,923 ; 23,869 ; 23,789 ; 23,718 ; 23,672 ; 23,611 ; 23,539 ; 23,509 ; 23,436 ; 23,393 ; 23,330 ; 23,269 ; 23,196 ; 23,157 ; 23,108 ; 
26,199 ; 26,150 ; 26,105 ; 26,073 ; 26,175 ; 26,530 ; 26,477 ; 26,443 ; 26,210 ; 25,654 ; 25,573 ; 25,552 ; 25,439 ; 25,390 ; 25,328 ; 25,248 ; 25,205 ; 25,123 ; 25,100 ; 25,019 ; 24,915 ; 24,864 ; 24,821 ; 24,750 ; 24,695 ; 24,630 ; 24,525 ; 24,488 ; 24,425 ; 24,351 ; 24,292 ; 24,242 ; 24,175 ; 24,129 ; 24,042 ; 24,012 ; 23,929 ; 23,855 ; 23,809 ; 23,770 ; 23,681 ; 23,642 ; 23,576 ; 23,527 ; 23,465 ; 23,404 ; 23,337 ; 23,300 ; 23,233 ; 23,166 ; 
26,301 ; 26,252 ; 26,197 ; 26,105 ; 26,056 ; 25,997 ; 26,162 ; 26,040 ; 25,800 ; 25,740 ; 25,695 ; 25,608 ; 25,541 ; 25,494 ; 25,419 ; 25,357 ; 25,266 ; 25,201 ; 25,126 ; 25,077 ; 24,992 ; 24,922 ; 24,887 ; 24,798 ; 24,731 ; 24,674 ; 24,605 ; 24,549 ; 24,493 ; 24,450 ; 24,376 ; 24,282 ; 24,232 ; 24,162 ; 24,133 ; 24,072 ; 23,997 ; 23,931 ; 23,870 ; 23,810 ; 23,742 ; 23,715 ; 23,651 ; 23,558 ; 23,519 ; 23,469 ; 23,399 ; 23,361 ; 23,281 ; 23,228 ; 
