# Samples per Second per Channel acquired: 5000.000000
# X	Y	SUM	
0.0116	0.0474	0.7131	
0.0109	0.0402	0.7118	
0.0103	0.0438	0.7121	
0.0116	0.0461	0.7138	
0.0106	0.0441	0.7115	
0.0113	0.0448	0.7118	
0.0109	0.0448	0.7115	
0.0103	0.0425	0.7125	
0.0113	0.0497	0.7115	
0.0116	0.0458	0.7121	
0.0103	0.0441	0.7118	
0.0113	0.0497	0.7138	
0.0106	0.0481	0.7105	
0.0109	0.0422	0.7121	
0.0116	0.0527	0.7108	
0.0113	0.0468	0.7121	
0.0109	0.0402	0.7128	
0.0119	0.0527	0.7134	
0.0109	0.0412	0.7118	
0.0109	0.0415	0.7131	
0.0116	0.0461	0.7108	
0.0103	0.0385	0.7111	
0.0103	0.0431	0.7102	
0.0116	0.0556	0.7105	
0.0106	0.0395	0.7105	
0.0113	0.0514	0.7131	
0.0113	0.0599	0.7102	
0.0096	0.0412	0.7095	
0.0116	0.0504	0.7102	
0.0122	0.0566	0.7111	
0.0113	0.0451	0.7111	
0.0119	0.0517	0.7111	
0.0109	0.0491	0.7121	
0.0116	0.0428	0.7125	
0.0126	0.0550	0.7134	
0.0116	0.0481	0.7134	
0.0116	0.0418	0.7115	
0.0122	0.0563	0.7138	
0.0116	0.0435	0.7144	
0.0122	0.0422	0.7128	
0.0129	0.0468	0.7134	
0.0122	0.0399	0.7131	
0.0126	0.0458	0.7151	
0.0126	0.0458	0.7118	
0.0116	0.0428	0.7111	
0.0122	0.0494	0.7121	
0.0119	0.0543	0.7121	
0.0109	0.0445	0.7128	
0.0126	0.0451	0.7157	
0.0116	0.0458	0.7105	
0.0116	0.0474	0.7111	
0.0132	0.0556	0.7125	
0.0116	0.0491	0.7118	
0.0109	0.0451	0.7111	
0.0122	0.0530	0.7121	
0.0119	0.0474	0.7128	
0.0113	0.0454	0.7125	
0.0122	0.0481	0.7144	
0.0119	0.0422	0.7115	
0.0116	0.0435	0.7111	
0.0126	0.0454	0.7118	
0.0109	0.0369	0.7118	
0.0122	0.0477	0.7151	
0.0122	0.0533	0.7111	
0.0113	0.0379	0.7118	
0.0119	0.0504	0.7105	
0.0119	0.0553	0.7108	
0.0119	0.0412	0.7098	
0.0122	0.0527	0.7102	
0.0129	0.0573	0.7098	
0.0119	0.0464	0.7115	
0.0129	0.0517	0.7108	
0.0122	0.0520	0.7092	
0.0129	0.0425	0.7121	
0.0136	0.0560	0.7111	
0.0122	0.0445	0.7098	
0.0126	0.0382	0.7108	
0.0129	0.0514	0.7115	
0.0116	0.0431	0.7108	
0.0136	0.0438	0.7111	
0.0132	0.0468	0.7108	
0.0122	0.0389	0.7118	
0.0129	0.0451	0.7118	
0.0132	0.0451	0.7092	
0.0122	0.0422	0.7095	
0.0126	0.0481	0.7118	
0.0126	0.0576	0.7098	
0.0119	0.0405	0.7098	
0.0126	0.0543	0.7092	
0.0122	0.0471	0.7098	
0.0116	0.0461	0.7098	
0.0129	0.0517	0.7098	
0.0122	0.0507	0.7079	
0.0122	0.0431	0.7092	
0.0132	0.0543	0.7075	
0.0119	0.0458	0.7098	
0.0122	0.0392	0.7092	
0.0126	0.0474	0.7079	
0.0122	0.0441	0.7079	
0.0122	0.0431	0.7111	
0.0122	0.0468	0.7092	
0.0119	0.0395	0.7085	
0.0126	0.0461	0.7088	
0.0122	0.0491	0.7075	
0.0116	0.0385	0.7105	
0.0122	0.0507	0.7085	
0.0122	0.0583	0.7111	
0.0116	0.0399	0.7079	
0.0122	0.0510	0.7082	
0.0122	0.0445	0.7072	
0.0113	0.0464	0.7079	
0.0129	0.0507	0.7072	
0.0129	0.0533	0.7092	
0.0126	0.0458	0.7092	
0.0122	0.0540	0.7098	
0.0116	0.0451	0.7092	
0.0126	0.0412	0.7082	
0.0132	0.0484	0.7092	
0.0119	0.0448	0.7082	
0.0122	0.0405	0.7092	
0.0129	0.0510	0.7098	
0.0122	0.0362	0.7095	
0.0119	0.0461	0.7095	
0.0126	0.0454	0.7082	
0.0119	0.0379	0.7082	
0.0132	0.0464	0.7082	
0.0132	0.0448	0.7102	
0.0126	0.0435	0.7118	
0.0129	0.0497	0.7082	
0.0126	0.0445	0.7092	
0.0122	0.0445	0.7075	
0.0136	0.0481	0.7085	
0.0126	0.0448	0.7108	
0.0126	0.0415	0.7082	
0.0132	0.0454	0.7092	
0.0119	0.0451	0.7059	
