25,463 ; 25,394 ; 25,321 ; 25,256 ; 25,188 ; 25,136 ; 25,039 ; 24,974 ; 24,896 ; 24,837 ; 24,735 ; 24,055 ; 23,991 ; 23,901 ; 23,818 ; 23,743 ; 23,697 ; 23,623 ; 23,527 ; 23,464 ; 23,496 ; 23,802 ; 23,666 ; 23,553 ; 23,335 ; 23,185 ; 23,109 ; 22,962 ; 22,829 ; 22,757 ; 22,698 ; 22,658 ; 22,571 ; 22,535 ; 22,452 ; 22,406 ; 22,344 ; 22,277 ; 22,246 ; 22,179 ; 22,109 ; 22,069 ; 22,008 ; 21,935 ; 21,898 ; 21,812 ; 21,771 ; 21,713 ; 21,669 ; 21,624 ; 
26,024 ; 25,940 ; 25,886 ; 25,809 ; 25,737 ; 25,683 ; 25,605 ; 25,515 ; 25,445 ; 25,372 ; 25,256 ; 24,786 ; 24,498 ; 24,416 ; 24,366 ; 24,285 ; 24,206 ; 24,102 ; 24,039 ; 23,972 ; 23,884 ; 23,819 ; 23,737 ; 23,665 ; 23,564 ; 23,489 ; 23,416 ; 23,355 ; 23,276 ; 23,185 ; 23,122 ; 23,047 ; 22,959 ; 22,881 ; 22,817 ; 22,740 ; 22,685 ; 22,619 ; 22,538 ; 22,475 ; 22,383 ; 22,345 ; 22,250 ; 22,179 ; 22,112 ; 22,058 ; 22,008 ; 21,909 ; 21,858 ; 21,793 ; 
26,143 ; 26,075 ; 26,009 ; 25,853 ; 25,773 ; 25,680 ; 25,565 ; 25,329 ; 25,119 ; 25,034 ; 24,862 ; 24,723 ; 24,629 ; 24,572 ; 24,492 ; 24,400 ; 24,318 ; 24,259 ; 24,156 ; 24,096 ; 24,024 ; 23,941 ; 23,843 ; 23,757 ; 23,684 ; 23,626 ; 23,547 ; 23,461 ; 23,381 ; 23,290 ; 23,227 ; 23,166 ; 23,098 ; 23,022 ; 22,952 ; 22,859 ; 22,800 ; 22,713 ; 22,655 ; 22,572 ; 22,506 ; 22,454 ; 22,348 ; 22,308 ; 22,224 ; 22,173 ; 22,099 ; 22,018 ; 21,976 ; 21,883 ; 
25,822 ; 25,693 ; 25,570 ; 25,455 ; 25,394 ; 25,317 ; 25,260 ; 25,184 ; 25,077 ; 25,022 ; 24,949 ; 24,858 ; 24,778 ; 24,678 ; 24,621 ; 24,525 ; 24,458 ; 24,355 ; 24,308 ; 24,218 ; 24,151 ; 24,036 ; 23,949 ; 23,869 ; 23,795 ; 23,716 ; 23,638 ; 23,575 ; 23,479 ; 23,409 ; 23,339 ; 23,286 ; 23,182 ; 23,122 ; 23,056 ; 22,956 ; 22,920 ; 22,817 ; 22,747 ; 22,702 ; 22,633 ; 22,560 ; 22,473 ; 22,397 ; 22,328 ; 22,265 ; 22,189 ; 22,131 ; 22,063 ; 21,999 ; 
25,755 ; 25,689 ; 25,639 ; 25,553 ; 25,499 ; 25,415 ; 25,322 ; 25,240 ; 25,184 ; 25,090 ; 25,005 ; 24,924 ; 24,851 ; 24,758 ; 24,677 ; 24,598 ; 24,513 ; 24,458 ; 24,377 ; 24,273 ; 24,205 ; 24,127 ; 24,027 ; 23,966 ; 23,856 ; 23,790 ; 23,739 ; 23,641 ; 23,583 ; 23,492 ; 23,427 ; 23,344 ; 23,268 ; 23,204 ; 23,142 ; 23,051 ; 22,967 ; 22,901 ; 22,845 ; 22,775 ; 22,693 ; 22,608 ; 22,547 ; 22,495 ; 22,419 ; 22,357 ; 22,265 ; 22,211 ; 22,128 ; 22,074 ; 
25,827 ; 25,787 ; 25,707 ; 25,631 ; 25,554 ; 25,486 ; 25,431 ; 25,333 ; 25,244 ; 25,167 ; 25,082 ; 25,011 ; 24,922 ; 24,851 ; 24,763 ; 24,668 ; 24,594 ; 24,511 ; 24,433 ; 24,347 ; 24,285 ; 24,193 ; 24,098 ; 24,045 ; 23,973 ; 23,873 ; 23,791 ; 23,733 ; 23,653 ; 23,573 ; 23,479 ; 23,397 ; 23,329 ; 23,263 ; 23,175 ; 23,110 ; 23,053 ; 22,985 ; 22,900 ; 22,822 ; 22,748 ; 22,679 ; 22,606 ; 22,555 ; 22,486 ; 22,391 ; 22,331 ; 22,257 ; 22,205 ; 22,124 ; 
25,872 ; 25,862 ; 25,797 ; 25,727 ; 25,659 ; 25,571 ; 25,515 ; 25,402 ; 25,347 ; 25,260 ; 25,100 ; 25,105 ; 25,002 ; 24,949 ; 24,839 ; 24,772 ; 24,670 ; 24,596 ; 24,515 ; 24,444 ; 24,359 ; 24,296 ; 24,210 ; 24,101 ; 24,052 ; 23,948 ; 23,889 ; 23,797 ; 23,729 ; 23,643 ; 23,559 ; 23,503 ; 23,434 ; 23,335 ; 23,285 ; 23,194 ; 23,104 ; 23,044 ; 22,973 ; 22,910 ; 22,815 ; 22,753 ; 22,680 ; 22,620 ; 22,536 ; 22,477 ; 22,387 ; 22,327 ; 22,275 ; 22,205 ; 
25,954 ; 25,895 ; 25,834 ; 25,743 ; 25,677 ; 25,620 ; 25,522 ; 25,448 ; 25,376 ; 25,290 ; 25,228 ; 25,132 ; 25,043 ; 24,962 ; 24,870 ; 24,820 ; 24,735 ; 24,649 ; 24,551 ; 24,480 ; 24,398 ; 24,327 ; 24,224 ; 24,145 ; 24,085 ; 23,982 ; 23,924 ; 23,853 ; 23,779 ; 23,679 ; 23,629 ; 23,550 ; 23,467 ; 23,385 ; 23,318 ; 23,241 ; 23,148 ; 23,080 ; 23,008 ; 22,928 ; 22,878 ; 22,784 ; 22,712 ; 22,640 ; 22,573 ; 22,505 ; 22,430 ; 22,361 ; 22,297 ; 22,224 ; 
26,012 ; 25,950 ; 25,878 ; 25,788 ; 25,707 ; 25,657 ; 25,574 ; 25,493 ; 25,412 ; 25,337 ; 25,258 ; 25,181 ; 25,099 ; 24,990 ; 24,919 ; 24,830 ; 24,754 ; 24,664 ; 24,600 ; 24,500 ; 24,439 ; 24,361 ; 24,260 ; 24,196 ; 24,090 ; 24,018 ; 23,935 ; 23,883 ; 23,791 ; 23,721 ; 23,636 ; 23,574 ; 23,490 ; 23,428 ; 23,349 ; 23,261 ; 23,189 ; 23,110 ; 23,063 ; 22,983 ; 22,891 ; 22,842 ; 22,772 ; 22,695 ; 22,608 ; 22,644 ; 23,092 ; 23,018 ; 22,949 ; 22,852 ; 
26,039 ; 25,978 ; 25,905 ; 25,841 ; 25,764 ; 25,670 ; 25,589 ; 25,515 ; 25,427 ; 25,377 ; 25,267 ; 25,194 ; 25,126 ; 25,053 ; 24,950 ; 24,887 ; 24,802 ; 24,713 ; 24,636 ; 24,555 ; 24,457 ; 24,395 ; 24,288 ; 24,225 ; 24,149 ; 24,069 ; 23,996 ; 23,898 ; 23,819 ; 23,737 ; 23,674 ; 23,589 ; 23,528 ; 23,478 ; 23,471 ; 23,322 ; 23,225 ; 23,176 ; 23,099 ; 22,996 ; 22,944 ; 22,876 ; 22,785 ; 22,735 ; 22,675 ; 22,930 ; 23,147 ; 23,042 ; 22,963 ; 22,924 ; 
